X,Y,SHB, player,swing,notes,inning
6.8,0.7,B,6,,,5
4.5,3,H,6,,,5
7,0.2,B,6,,,5
3.5,2.7,H,6,,,5
1.7,5,S,6,0,,5
7.8,-1.5,B,6,,,5
4.9,1.5,S,6,1,,5
4.3,2.2,H,6,,,5
3,2.8,S,6,0,,6
6.8,0.7,B,6,,,6
5,1,S,6,1,,6
7.2,1.7,B,6,,,6
3,-0.4,B,6,,,6
2.4,5.6,H,6,,foul - straight up,6
2.8,4.5,H,6,,,6
-0.5,3.4,B,6,,,6
1.9,3.5,H,6,,bunt,6
1.5,3.5,S,6,1,,6
5.2,4.5,H,6,,,6
0.8,7,B,6,,,6
2.6,4.2,H,6,,flyball - caught out,6
