
X,Y,SHB,player,swing,notes,inning
4.2,2.2,S,20,0,,6
-0.4,2.8,B,20,,,6
-1.2,3.6,B,20,,,6
3.8,2.2,S,20,1,,6
3.4,2.8,H,20,,,6
1.5,-1.4,B,20,,,6
1.5,4.2,S,20,0,,6
3.0,-1.9,B,20,,,6
3.0,2.5,S,20,0,,6
1.8,2.5,H,20,,,6
2.4,3.8,S,20,0,,6
2.8,4.3,H,20,,,6
7.2,7,B,20,,,7
2.4,6.5,B,20,,,7
5.5,4.5,S,20,0,,7
6.7,2.5,B,20,,,7
3.8,4.1,S,20,1,,7
2.6,4.3,H,20,,foul,7
2.8,5,H,20,,foul,7
3.2,2.3,S,20,0,,7
6.8,4.2,B,20,,,7
4.4,5.2,S,20,0,,7
4.6,4.8,S,20,0,,7
4.2,3.6,H,20,,,7
2.4,-0.7,B,20,,,7
5.4,-1.2,B,20,,,7
4.9,2.1,H,20,,,7
-0.2,-0.8,B,20,,,7
1.8,3.7,S,20,0,,7
1.6,0.7,S,20,0,,7
5.2,3.2,H,20,,,7
2.5,3.7,S,20,0,,7
2.8,4.2,H,20,,foul - up,7
2.5,3.8,S,20,1,,7
